,,,,,
Date,ID,Number,Pmount,Preservation,Notes
5/18,312,3374,FALSE,Dried Blood,
5/18,313,3375,FALSE,Dried Blood,
5/18,314,3372,FALSE,Dried Blood,
5/18,315,3373,FALSE,Dried Blood,
5/18,316,3371,FALSE,Dried Blood,
5/18,317,3355,FALSE,Dried Blood,
5/18,318,3392,FALSE,Dried Blood,
5/18,319,3393,FALSE,Dried Blood,
5/18,320,3401,FALSE,Dried Blood,
5/18,321,3402,FALSE,Dried Blood,
5/18,322,3416,FALSE,Dried Blood,
,,,,,
5/18,324,3462,FALSE,Dried Blood,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5/18,331,3463,FALSE,Dried Blood,
5/18,,,FALSE,Dried Blood,
5/18,333,3444,FALSE,Dried Blood,
5/18,334,3445,FALSE,Dried Blood,
5/18,335,3426,FALSE,Dried Blood,
5/18,336,3428,FALSE,Dried Blood,
5/18,337,3442,FALSE,Dried Blood,
5/18,338,3437,FALSE,Dried Blood,
5/18,339,3422,FALSE,Dried Blood,
5/18,340,3421,FALSE,Dried Blood,
5/18,341,3423,FALSE,Dried Blood,
5/18,342,3440,FALSE,Dried Blood,
5/18,343,3441,FALSE,Dried Blood,
5/18,344,3419,FALSE,Dried Blood,lots of ejected nuclei
5/18,345,3429,FALSE,Dried Blood,
5/18,346,3431,FALSE,Dried Blood,
5/18,347,3432,FALSE,Dried Blood,
5/18,348,3464,FALSE,Dried Blood,
5/18,349,3468,FALSE,Dried Blood,
5/18,350,3360,FALSE,Dried Blood,
5/18,351,3356,FALSE,Dried Blood,
5/18,352,3418,FALSE,Dried Blood,
5/18,353,3513,FALSE,Dried Blood,
5/18,354,3517,FALSE,Dried Blood,
5/18,355,3518,FALSE,Dried Blood,
5/18,356,3471,FALSE,Dried Blood,
5/18,357,3472,FALSE,Dried Blood,
5/18,358,3599,FALSE,Dried Blood,
5/18,359,3455,FALSE,Dried Blood,
5/18,360,3456,FALSE,Dried Blood,
5/18,361,3437,FALSE,Dried Blood,
5/18,362,3458,FALSE,Dried Blood,
5/18,363,3459,FALSE,Dried Blood,high rate of enucleuated cells
5/18,364,3506,FALSE,Dried Blood,
5/18,365,3507,FALSE,Dried Blood,
5/18,366,3521,FALSE,Dried Blood,
5/18,367,3520,FALSE,Dried Blood,
5/18,368,3374,TRUE,Dried Blood,
5/18,369,3375,TRUE,Dried Blood,
5/18,370,3372,TRUE,Dried Blood,
5/18,371,3373,TRUE,Dried Blood,
5/18,372,3371,TRUE,Dried Blood,
5/18,373,3355,TRUE,Dried Blood,
5/18,374,3392,TRUE,Dried Blood,
5/18,375,3393,TRUE,Dried Blood,
5/18,376,3401,TRUE,Dried Blood,
5/18,377,3402,TRUE,Dried Blood,
5/18,378,3416,TRUE,Dried Blood,
5/18,379,3462,TRUE,Dried Blood,
5/18,380,3463,TRUE,Dried Blood,
5/18,381,3444,TRUE,Dried Blood,
5/18,382,3445,TRUE,Dried Blood,
5/18,383,3426,TRUE,Dried Blood,
5/18,384,3442,TRUE,Dried Blood,
5/18,385,3437,TRUE,Dried Blood,
5/18,386,3422,TRUE,Dried Blood,
5/18,387,3471,TRUE,Dried Blood,
5/18,388,3421,TRUE,Dried Blood,
5/18,389,3423,TRUE,Dried Blood,
5/18,390,3440,TRUE,Dried Blood,
5/19,368,3428,TRUE,Dried Blood,
5/19,369,3419,TRUE,Dried Blood,
5/19,370,3429,TRUE,Dried Blood,
5/19,371,3513,TRUE,Dried Blood,
5/19,372,3434,TRUE,Dried Blood,
5/19,373,3472,TRUE,Dried Blood,
5/19,374,3432,TRUE,Dried Blood,
5/19,375,3464,TRUE,Dried Blood,
5/19,376,3468,TRUE,Dried Blood,
5/19,377,3360,TRUE,Dried Blood,
5/19,378,3517,TRUE,Dried Blood,
5/19,379,3356,TRUE,Dried Blood,
5/19,380,3441,TRUE,Dried Blood,
5/19,381,3518,TRUE,Dried Blood,
5/19,382,3599,TRUE,Dried Blood,
5/19,383,3418,TRUE,Dried Blood,
5/19,384,3459,TRUE,Dried Blood,
5/19,385,3455,TRUE,Dried Blood,
,386,3456,TRUE,Dried Blood,
,387,3457,TRUE,Dried Blood,
,388,3458,TRUE,Dried Blood,
,389,3506,TRUE,Dried Blood,
,390,3507,TRUE,Dried Blood,
,391,3521,TRUE,Dried Blood,
,392,3520,TRUE,Dried Blood,
5/21,393,168277,FALSE,Fixed,
,,,,,
,395,168277,FALSE,Fixed,
,396,166183,FALSE,Fixed,
,397,166183,FALSE,Fixed,
,398,92228,FALSE,Fixed,
,399,92227,FALSE,Fixed,
,400,92227,FALSE,Fixed,
,401,166184,FALSE,Fixed,
,402,166184,FALSE,Fixed,
,403,166185,FALSE,Fixed,
,404,110793,FALSE,Fixed,
,405,168405,FALSE,Fixed,
,406,168405,FALSE,Fixed,
,,,FALSE,Fixed,
,,,FALSE,Fixed,
,,,FALSE,Fixed,
,410,92122,FALSE,Fixed,
,411,92190,FALSE,Fixed,
,412,92196,FALSE,Fixed,
,413,32469,FALSE,Fixed,
,414,32470,FALSE,Fixed,
,415,59842,FALSE,Fixed,
,416,59842,FALSE,Fixed,
,417,52825,FALSE,Fixed,
,418,141510,FALSE,Fixed,
,419,52826,FALSE,Fixed,
,420,32512,FALSE,Fixed,
,421,32524,FALSE,Fixed,
,,,FALSE,Fixed,
,423,169201,FALSE,Fixed,
,424,169201,FALSE,Fixed,
,425,169204,FALSE,Fixed,
,426,169204,FALSE,Fixed,
,427,201239,FALSE,Fixed,
,428,209455,FALSE,Fixed,
,429,141511,FALSE,Fixed,
,430,169496,FALSE,Fixed,
,431,169496,FALSE,Fixed,
,432,52805,FALSE,Fixed,
,433,52805,FALSE,Fixed,
,434,146175,FALSE,Fixed,
,435,169445,FALSE,Fixed,
,436,91572,FALSE,Fixed,
,437,109787,FALSE,Fixed,
,438,141811,FALSE,Fixed,
,439,169213,FALSE,Fixed,
,440,220829,FALSE,Fixed,
,441,220831,FALSE,Fixed,
5/22,442,220830,FALSE,Fixed,
,443,220831,FALSE,Fixed,
,444,186085,FALSE,Fixed,
,445,186037,FALSE,Fixed,
,446,222609,FALSE,Fixed,
,447,222615,FALSE,Fixed,
,448,141144,FALSE,Fixed,
,449,109595,FALSE,Fixed,
,450,166183,TRUE,Fixed,
,451,166183,TRUE,Fixed,
,452,168277,TRUE,Fixed,
,453,168277,TRUE,Fixed,
,454,92228,TRUE,Fixed,
,455,166185,TRUE,Fixed,
,456,166186,TRUE,Fixed,
,457,110793,TRUE,Fixed,
,458,32524,TRUE,Fixed,
,459,166184,TRUE,Fixed,
,460,92227,TRUE,Fixed,
,461,168495,TRUE,Fixed,
,462,168405,TRUE,Fixed,
,463,52826,TRUE,Fixed,
,464,220651,TRUE,Fixed,
,465,92122,TRUE,Fixed,
,466,9210,TRUE,Fixed,
,467,92196,TRUE,Fixed,
,468,32469,TRUE,Fixed,
,469,32469,TRUE,Fixed,
,470,32470,TRUE,Fixed,
,471,59842,TRUE,Fixed,
,472,59842,TRUE,Fixed,
,473,59842,TRUE,Fixed,
,474,52825,TRUE,Fixed,
,475,141510,TRUE,Fixed,
,476,32512,TRUE,Fixed,
,477,222615,TRUE,Fixed,
,478,109595,TRUE,Fixed,
,479,222609,TRUE,Fixed,
,480,162037,TRUE,Fixed,
,481,162037,TRUE,Fixed,
,482,186085,TRUE,Fixed,
,483,141144,TRUE,Fixed,
,484,220831,TRUE,Fixed,
,485,220830,TRUE,Fixed,
,486,91572,TRUE,Fixed,
,487,91572,TRUE,Fixed,
,488,169445,TRUE,Fixed,
,489,146175,TRUE,Fixed,
,490,141811,TRUE,Fixed,
,491,109787,TRUE,Fixed,
,492,169201,TRUE,Fixed,
,493,169202,TRUE,Fixed,
,494,169204,TRUE,Fixed,
,495,201239,TRUE,Fixed,
,496,209455,TRUE,Fixed,
,497,141511,TRUE,Fixed,
,498,169496,TRUE,Fixed,
,499,52805,TRUE,Fixed,
,500,169213,TRUE,Fixed,
,501,64631,TRUE,Fixed,
,502,220829,TRUE,Fixed,
