slide_glass_id,process_id,scan_date,vsi_filename,drive_path
1172,354,20250516,Process_354.vsi,20250516/Slide glass_1172
1173,355,20250516,Process_355.vsi,20250516/Slide glass_1173
1174,356,20250516,Process_356.vsi,20250516/Slide glass_1174
1175,357,20250516,Process_357.vsi,20250516/Slide glass_1175
1192,358,20250516,Process_358.vsi,20250516/Slide glass_1192
1193,359,20250516,Process_359.vsi,20250516/Slide glass_1193
1194,360,20250516,Process_360.vsi,20250516/Slide glass_1194
1195,361,20250516,Process_361.vsi,20250516/Slide glass_1195
1196,362,20250516,Process_362.vsi,20250516/Slide glass_1196
1197,363,20250516,Process_363.vsi,20250516/Slide glass_1197
1198,364,20250516,Process_364.vsi,20250516/Slide glass_1198
1199,365,20250516,Process_365.vsi,20250516/Slide glass_1199
1200,366,20250516,Process_366.vsi,20250516/Slide glass_1200
1203,367,20250516,Process_367.vsi,20250516/Slide glass_1203
1207,368,20250518,Process_368.vsi,20250518/Slide glass_1207
1240,368,20250519,Process_368.vsi,20250519/Slide glass_1240
1208,369,20250518,Process_369.vsi,20250518/Slide glass_1208
1241,369,20250519,Process_369.vsi,20250519/Slide glass_1241
1209,370,20250518,Process_370.vsi,20250518/Slide glass_1209
1242,370,20250519,Process_370.vsi,20250519/Slide glass_1242
1210,371,20250518,Process_371.vsi,20250518/Slide glass_1210
1246,371,20250519,Process_371.vsi,20250519/Slide glass_1246
1211,372,20250518,Process_372.vsi,20250518/Slide glass_1211
1247,372,20250519,Process_372.vsi,20250519/Slide glass_1247
1212,373,20250518,Process_373.vsi,20250518/Slide glass_1212
1248,373,20250519,Process_373.vsi,20250519/Slide glass_1248
1213,374,20250518,Process_374.vsi,20250518/Slide glass_1213
1249,374,20250519,Process_374.vsi,20250519/Slide glass_1249
1214,375,20250518,Process_375.vsi,20250518/Slide glass_1214
1250,375,20250519,Process_375.vsi,20250519/Slide glass_1250
1215,376,20250518,Process_376.vsi,20250518/Slide glass_1215
1251,376,20250519,Process_376.vsi,20250519/Slide glass_1251
1216,377,20250518,Process_377.vsi,20250518/Slide glass_1216
1252,377,20250519,Process_377.vsi,20250519/Slide glass_1252
1217,378,20250518,Process_378.vsi,20250518/Slide glass_1217
1253,378,20250519,Process_378.vsi,20250519/Slide glass_1253
1218,379,20250518,Process_379.vsi,20250518/Slide glass_1218
1254,379,20250519,Process_379.vsi,20250519/Slide glass_1254
1219,380,20250518,Process_380.vsi,20250518/Slide glass_1219
1258,380,20250519,Process_380.vsi,20250519/Slide glass_1258
1220,381,20250518,Process_381.vsi,20250518/Slide glass_1220
1259,381,20250519,Process_381.vsi,20250519/Slide glass_1259
1221,382,20250518,Process_382.vsi,20250518/Slide glass_1221
1260,382,20250519,Process_382.vsi,20250519/Slide glass_1260
1222,383,20250518,Process_383.vsi,20250518/Slide glass_1222
1261,383,20250519,Process_383.vsi,20250519/Slide glass_1261
1224,384,20250518,Process_384.vsi,20250518/Slide glass_1224
1262,384,20250519,Process_384.vsi,20250519/Slide glass_1262
1228,385,20250518,Process_385.vsi,20250518/Slide glass_1228
1263,385,20250519,Process_385.vsi,20250519/Slide glass_1263
1229,386,20250518,Process_386.vsi,20250518/Slide glass_1229
