slide_id,specimen_id,species
312,3374,
313,3375,
314,3372,
315,3373,
316,3371,
317,3355,
318,3392,
319,3393,
320,3401,
321,3402,
322,3416,
324,3462,
331,3463,
333,3444,
334,3445,
335,3426,
336,3428,
337,3442,
338,3437,
339,3422,
340,3421,
341,3423,
342,3440,
343,3441,
344,3419,
345,3429,
346,2431,
347,3432,
348,3464,
349,3464,
350,3468,
351,3356,
352,3418,
353,3513,
354,3517,
355,3518,
356,3471,
357,3472,
358,3599,
359,3455,
360,3456,
361,3437,
362,3458,
363,3459,
364,3506,
365,3507,
366,3521,
367,33520,
,,
368,3374,
369,3375,
370,3372,
371,3373,
372,3371,
373,3355,
374,3392,
375,3393,
376,3401,
377,3402,
378,3416,
379,3462,
380,3463,
381,3444,
382,3445,
383,3426,
384,3442,
385,3437,
386,3422,
387,3422,
388,3471,
389,3421,
390,3440,
,,
368,3428,
369,3419,
370,3429,
371,3513,
372,3434,
373,3472,
374,3432,
375,3464,
376,3468,
377,3360,
378,3517,
379,3356,
380,3441,
381,3518,
382,3599,
383,3418,
384,3459,
385,3455,
386,3456,
387,3457,
388,3458,
389,3506,
390,3507,
391,3521,
392,3520,
,,
393,168277,D. aeneus
395,168277,D. aeneus
396,166183,D. aeneus
397,166183,D. aeneus
398,92228,D. aureatus
399,92227,D. aureatus
400,92227,D. aureatus
401,166184,D. auriculatus
402,166184,D. auriculatus
403,166185,D. auriculatus
404,110793,D. brimleyorum
405,168405,D. brimleyorum
406,168405,D. brimleyorum
,,
410,92122,D. cheaha
411,92190,D. cheaha
412,92196,D. cheaha
413,32469,D. fuscus
414,32470,D. fuscus
415,59842,D. fuscus
416,59842,D. fuscus
417,52825,D. gvingeusgwotli
418,141510,D. makavoilius
419,52826,D. gvingeusgwotli
420,32512,D. imitator
421,32524,D. imitator
422,,
423,169201,D. kanawa
424,169201,D. kanawa
425,169202,D. kanawa
426,169204,D. kanawa
427,201239,D. marmoratus
428,209455,D. marmoratus
429,141511,D. makavoilius
430,169496,D. makavoilius
431,196496,
432,52805,D. monticola
433,52805,D. monticola
434,146175,D. monticola
435,169445,D. orestes
436,91572,D. orestes
437,109787,D. orestes
438,141811,D. organi
439,169213,
440,220829,D. wrighti
441,220831,D. wrighti
442,220830,D. wrighti
443,220831,D. wrighti
444,186085,
445,186037,
446,222609,D. santeetlah
447,222615,D. santeetlah
448,141144,D. welteri
449,109595,D. marmoratus
,,
450,166183,D. aeneus
451,166183,D. aeneus
452,168277,D. aeneus
453,168277,D. aeneus
454,92228,D. aureatus
455,166185,D. auriculatus
456,166186,
457,110793,D. brimleyorum
458,32524,D. imitator
459,166184,D. auriculatus
460,92227,D. aureatus
461,168405,D. brimleyorum
462,168405,D. brimleyorum
463,52926,
464,220651,D. imitator
465,92122,D. cheaha
466,9210,
467,92196,D. cheaha
468,32469,D. fuscus
469,32469,D. fuscus
470,32470,D. fuscus
471,59842,D. fuscus
472,59842,D. fuscus
473,59842,D. fuscus
474,52825,D. gvingeusgwotli
475,141510,D. makavoilius
476,32512,D. imitator
477,222615,D. santeetlah
478,109595,D. marmoratus
479,222609,D. santeetlah
480,162037,
481,162037,
482,186085,
483,141144,D. welteri
484,220831,D. wrighti
485,220830,D. wrighti
486,91572,D. orestes
487,91572,D. orestes
488,169445,D. orestes
489,146175,D. monticola
490,141811,D. organi
491,109787,D. orestes
492,169201,D. kanawa
493,169202,D. kanawa
494,169204,D. kanawa
495,201239,D. marmoratus
496,209455,D. marmoratus
497,141511,D. makavoilius
498,169496,D. makavoilius
499,52805,D. monticola
500,169496,D. makavoilius
501,64631,D. valentinia
502,220829,D. wrighti
